Lat,Lon,name
37.71847,-122.43953,ITALY AVE
37.78745,-122.4005,NEW MONTGOMERY ST
37.79033,-122.39741,01ST ST
37.75863,-122.41904,20TH ST
37.78987,-122.39595,FREMONT ST
37.76998,-122.41992,13TH ST
37.76907,-122.42004,ERIE ST
37.79055,-122.39508,BEALE ST
37.74559,-122.41987,FAIR AVE
37.73395,-122.42612,SAINT MARYS AVE
37.71766,-122.44013,SENECA AVE
37.78861,-122.39963,ANTHONY ST
37.78426,-122.4051,JESSIE EAST ST
37.72874,-122.43128,SILVER AVE
37.71461,-122.44265,MOUNT VERNON AVE
37.74239,-122.42196,30TH ST
37.79117,-122.3941,MAIN ST
37.73092,-122.42544,TRUMBULL ST
37.76667,-122.41982,15TH ST
37.74156,-122.42191,KINGSTON ST
37.72926,-122.43386,TINGLEY ST
37.72882,-122.43458,THERESA ST
37.73664,-122.42423,PARK ST
37.70894,-122.45019,OLIVER ST
37.79327,-122.39321,STEUART ST
37.71185,-122.44983,HURON AVE
37.76267,-122.42017,SYCAMORE ST
37.78219,-122.40717,MINT ST
37.71639,-122.441,GENEVA AVE
37.74101,-122.42284,CORTLAND AVE
37.75545,-122.41874,22ND ST
37.74676,-122.41912,PRECITA AVE
37.76342,-122.4195,17TH ST
37.72924,-122.4308,CASTLE MANOR AVE
37.71206,-122.44147,ALLISON ST
37.74906,-122.41814,26TH ST
37.74315,-122.4215,VIRGINIA AVE
37.72841,-122.4354,COTTER ST
37.7108,-122.44768,WHIPPLE AVE
37.77101,-122.41963,PLUM ST
37.79371,-122.39263,THE EMBARCADERO
37.76022,-122.41922,19TH ST
37.73887,-122.42395,APPLETON AVE
37.72389,-122.43541,OCEAN AVE
37.7426,-122.42113,GODEUS ST
37.71543,-122.44183,POPE ST
37.70994,-122.44939,FARRAGUT AVE
37.77433,-122.4171,11TH ST
37.74222,-122.42208,EUGENIA AVE
37.72005,-122.43835,FRANCE AVE
37.77702,-122.41449,LASKIE ST
37.74408,-122.42092,29TH ST
37.72157,-122.43718,RUSSIA AVE
37.72115,-122.4375,ONONDAGA AVE
37.78745,-122.40201,ANNIE ST
37.75702,-122.41892,21ST ST
37.76306,-122.41948,CLARION ALY
37.7116,-122.44613,NAGLEE AVE
37.72986,-122.43015,ADMIRAL AVE
37.73594,-122.42449,RICHLAND AVE
37.71145,-122.44641,LOWELL ST
37.72401,-122.43532,SAN JUAN AVE
37.76829,-122.41997,14TH ST
37.71182,-122.44251,CONCORD ST
37.73736,-122.42404,HIGHLAND AVE
37.77528,-122.41591,10TH ST
37.70942,-122.45088,LAWRENCE AVE
37.71724,-122.44043,AMAZON AVE
37.78898,-122.39857,SHAW ALY
37.72772,-122.43234,AVALON AVE
37.72709,-122.43439,FRANCIS ST
37.77301,-122.41719,LAFAYETTE ST
37.78309,-122.40604,JESSIE WEST ST
37.73526,-122.42481,COLLEGE AVE
37.72562,-122.43537,HARRINGTON ST
37.73428,-122.42579,COLLEGE TER
37.7512,-122.42057,VALENCIA ST
37.73001,-122.43001,NEY ST
37.77122,-122.41571,12TH ST
37.75066,-122.4183,25TH ST
37.78214,-122.40724,MARY ST
37.79196,-122.39333,SPEAR ST
37.71261,-122.43459,ROLPH ST
37.72502,-122.43579,NORTON ST
37.72306,-122.43604,RUTH ST
37.7247,-122.43483,BRAZIL AVE
37.71049,-122.44329,GUTTENBERG ST
37.75383,-122.4186,23RD ST
37.73971,-122.42718,RANDALL ST
37.72314,-122.43597,PERSIA AVE
37.76505,-122.41967,16TH ST
37.7851,-122.40347,YERBA BUENA LN
37.71063,-122.45132,LAURA ST
37.76184,-122.41937,18TH ST
37.72246,-122.43651,LEO ST
37.74618,-122.41951,POWERS AVE
37.72576,-122.43401,SANTA ROSA AVE
37.71338,-122.44396,FLORENTINE AVE
37.71264,-122.44477,FOOTE AVE
37.73397,-122.43623,BOSWORTH ST
37.72624,-122.43364,EXCELSIOR AVE
37.77527,-122.41437,WASHBURN ST
37.71065,-122.44727,MORSE ST
37.74065,-122.42307,BROOK ST
37.71361,-122.44373,OTTAWA AVE
37.71558,-122.44172,NIAGARA AVE
37.70854,-122.45255,ACTON ST
37.75226,-122.41849,24TH ST
37.77499,-122.41473,GRACE ST
